numer_karty,nazwa,komorka,obszar,liczba_sekcji,liczba_wnioskow,url
KM-007,Wydanie zaświadczenia o posiadanych uprawnieniach do kierowania pojazdami,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,10,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wydanie-zaswiadczenia-o-posiadaniu-uprawnien-do-kierowania-pojazdami,21,22956,2,3.html"
KM-046,Wydawanie na wniosek dowodu rejestracyjnego zatrzymanego przez uprawnione organy,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-i-oznaczanie-pojazdow/wydawanie-na-wniosek-dowodu-rejestracyjnego-zatrzymanego-przez-uprawnione-organy,4,22960,2,3.html"
KM-054,Wykonanie potwierdzonej kserokopii dokumentów,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-i-oznaczanie-pojazdow/wykonanie-potwierdzonej-kserokopii-dokumentow,6,22960,2,3.html"
KM-044,Wymiana dowodu rejestracyjnego z powodu zmiany parametrów technicznych pojazdu,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,11,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/wymiana-dowodu-rejestracyjnego-bez-zmiany-w-prawie-wlasnosci/wymiana-dowodu-rejestracyjnego-z-powodu-zmiany-parametrow-technicznych-pojazdu,4,22964,2,4.html"
KM-072,Wymiana karty motorowerowej na prawo jazdy kategorii AM,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,11,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wymiana-karty-motorowerowej-na-prawo-jazdy-kat-am,11,22956,2,4.html"
KM-057,Wymiana prawa jazdy nieokreślonego w Konwencji Wiedeńskiej o ruchu drogowym,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,13,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wymiana-zagranicznego-prawa-jazdy-nieokreslonego-w-konwencjach-o-ruchu-drogowym,5,22956,2,4.html"
KM-056,Wymiana prawa jazdy wydanego za granicą przez państwo członkowskie Unii Europejskiej lub państwo trzecie - zgodnego ze wzorem prawa jazdy określonym przez Konwencję Wiedeńską o ruchu drogowym,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,12,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wymiana-prawa-jazdy-wydanego-za-granica-przez-panstwo-czlonkowskie-unii-europejskiej-lub-panstwo-trzecie-zgodnego-ze-wzorem-prawa-jazdy-okreslonym-przez-konwencje-wiedenska-o-ruchu-drogowym,4,22956,2,4.html"
KM-071,Wymiana prawa jazdy z powodu upływu terminu ważności,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,11,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wymiana-prawa-jazdy-z-powodu-uplywu-terminu-waznosci,9,22956,2,4.html"
KM-070,Wymiana prawa jazdy z powodu zmiany danych,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,12,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wymiana-prawa-jazdy-z-powodu-zmiany-danych,10,22956,2,1.html"
KM-051,Zamieszczanie i wykreślanie w dowodach rejestracyjnych zastrzeżeń wynikających z zastawów rejestrowych,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/zmiany-w-istniejacym-dowodzie-rejestracyjnym-na-wniosek-wlasciciela/zamieszczanie-i-wykreslanie-w-dowodach-rejestracyjnych-zastrzezen-wynikajacych-z-zastawow-rejestrowych,2,22962,2,3.html"
KM-073,Zatrzymanie prawa jazdy z powodu przekroczenia dopuszczalnej prędkości o więcej niż 50 kilometrów na godzinę na obszarze zabudowanym,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,9,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/zatrzymanie-prawa-jazdy-z-powodu-przekroczenia-dopuszczalnej-predkosci-o-wiecej-niz-50-kmh-na-obszarze-zabudowanym-lub-przewozu-osob-w-liczbie-przekraczajacej-liczbe-miejsc-okreslona-w-dowodzie-rejestracyjnym,12,22956,2,3.html"
KM-010,Zatrzymywanie praw jazdy dłużnikom alimentacyjnym,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,13,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/zatrzymywanie-praw-jazdy-dluznikom-alimentacyjnym,13,22956,2,4.html"
KM-078,Załatwianie spraw w Wydziale Komunikacji drogą elektroniczną,Wydział Komunikacji,Zalatwianie spraw w wydziale komunikacji,1,0,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/zalatwianie-spraw-w-wydziale-komunikacji/zalatwianie-spraw-w-wydziale-komunikacji-droga-elektroniczna,1,27902,2.html"
KM-022,Zaświadczenie na krajowe przewozy drogowe osób lub rzeczy na potrzeby własne,Wydział Komunikacji,Komunikacjatransport,12,10,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/wydanie-zaswiadczenia-na-przewozy-drogowe-na-potrzeby-wlasne,5,22958,2,1.html"
KM-062,Zezwolenie na kierowanie pojazdem uprzywilejowanym lub pojazdem przewożącym wartości pieniężne,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,11,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/zezwolenie-na-kierowanie-pojazdem-uprzywilejowanym-lub-pojazdem-przewozacym-wartosci-pieniezne,6,22956,2,3.html"
KM-019,Zezwolenie na wykonywanie zawodu przewoźnika drogowego w zakresie krajowego przewozu osób/rzeczy,Wydział Komunikacji,Komunikacjatransport,12,28,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/udzielenie-zezwolenia-na-wykonywanie-zawodu-przewoznika-drogowego-w-zakresie-krajowego-przewozu-osob,11,22958,2,5.html"
KM-037,"Zmiany w dowodzie rejestracyjnym dokonywane na wniosek właściciela: wpisanie adnotacji - hak, gaz, taxi, vat, ""L""",Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/zmiany-w-istniejacym-dowodzie-rejestracyjnym-na-wniosek-wlasciciela/zmiany-w-dowodzie-rejestracyjnym-dokonywane-na-wniosek-wlasciciela-wpisanie-adnotacji-hak-gaz-taxi-vat-l,1,22962,2,3.html"
KM-081,Zwrot prawa jazdy zatrzymanego elektronicznie,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,10,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/zwrot-prawa-jazdy-zatrzymanego-elektronicznie,28,22956,2,1.html"
KM-016,Zwrot zatrzymanego prawa jazdy osobie mającej orzeczony zakaz prowadzenia pojazdów na okres nieprzekraczający roku,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,12,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/zwrot-zatrzymanego-prawa-jazdy-osobie-majacej-wydany-zakaz-na-okres-nieprzekraczajacy-roku,25,22956,2,4.html"
KL-007,Nagroda Artystyczna Miasta Lublin,Wydział Kultury,,6,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/nagroda-artystyczna-miasta-lublin,2,22965,2.html"
